state,town,listings,median_actual_price,median_predicted_price,median_price_gap_percent,data_quality_review_count,potential_opportunity_count,close_to_estimate_count,above_estimate_count
Abuja,Mbora (Nbora),5,42000000.00000003,59640349.574765846,-0.27169630435343983,0,3,0,2
Imo,Owerri North,5,17999999.999999985,32056742.09504629,-0.13048299049431974,0,2,1,2
Abuja,Gudu,5,65000000.00000007,73570187.77021106,-0.0897699624560669,0,1,2,2
Ogun,Obafemi Owode,5,15000000.00000001,14273497.157599289,0.37033914010705327,0,1,1,3
Abuja,Durumi,5,129999999.99999997,70608453.41163981,0.5199202849547782,0,0,2,3
Oyo,Ibadan South-West,5,65000000.00000007,46333983.71783429,0.6060366153309571,0,0,0,5
Osun,Osogbo,4,15999999.999999993,41406637.30131674,-0.5322973878144348,0,3,1,0
Ogun,Ogijo,4,13500000.000000007,27156521.371326983,-0.38349312167809857,0,3,1,0
Abuja,Gaduwa,4,60000000.0000001,71410519.66971897,-0.24380889188657834,0,2,2,0
Lagos,Ketu,4,55000000.000000075,66694142.153455965,-0.07012920924354926,0,2,0,2
Kaduna,Kaduna North,4,49999999.99999998,25825226.315518595,0.29693002694179577,0,1,0,3
Ogun,Simawa,4,27500000.000000007,13713161.699432066,0.9082445664066445,0,0,0,4
Akwa Ibom,Uyo,3,24999999.999999963,62761421.45166171,-0.6016661283037584,0,2,0,1
Abuja,Orozo,3,16999999.999999974,30328665.500765245,-0.49568071902457045,1,2,0,0
Abuja,Idu Industrial,3,39999999.999999985,69527428.59301051,-0.4486900330510921,0,3,0,0
Abuja,Kukwaba,3,129999999.99999997,99228820.72664155,0.3101032446825884,0,1,0,2
Lagos,Oshodi,3,60000000.0000001,43562629.21332888,0.4921046129169811,0,0,1,2
Abuja,Gwagwalada,2,10499999.999999994,36034793.22920917,-0.6893262233264247,0,2,0,0
Lagos,Idimu,2,22500000.000000007,33564364.98469567,-0.37951163944445554,0,1,1,0
Abuja,Karshi,2,17750000,29951316.286978938,-0.36503386622705314,0,2,0,0
Abuja,Bwari,2,21500000.00000003,32613542.557594076,-0.34031054959715806,0,1,1,0
Abuja,Dape,2,72499999.99999994,107585106.49161014,-0.3360813163273182,0,2,0,0
