bedrooms,bathrooms,toilets,parking_space,title,town,state,price,price_raw,price_winsorized,log_price,total_rooms,total_wet_rooms,bathroom_bedroom_ratio,toilet_bedroom_ratio,parking_per_bedroom,has_parking,market_hub,price_band
7,7,8,4,Detached Duplex,Lekki,Lagos,200000000,200000000,200000000,19.11382792951231,22,15,1,1.1428571428571428,0.5714285714285714,Has parking,Prime commercial hub,4
3,4,4,3,Detached Bungalow,Lekki,Lagos,33000000,33000000,33000000,17.312018149733785,11,8,1.3333333333333333,1.3333333333333333,1,Has parking,Prime commercial hub,2
8,8,8,4,Detached Duplex,Lekki,Lagos,45000000,45000000,45000000,17.622173069956816,24,16,1,1,0.5,Has parking,Prime commercial hub,2
5,6,6,4,Detached Duplex,Lekki,Lagos,110000000,110000000,110000000,18.5159909328476,17,12,1.2,1.2,0.8,Has parking,Prime commercial hub,4
4,5,5,4,Detached Duplex,Lekki,Lagos,90000000,90000000,90000000,18.31532023940565,14,10,1.25,1.25,1,Has parking,Prime commercial hub,3
5,5,6,4,Terraced Duplexes,Gaduwa,Abuja,38000000,38000000,38000000,17.453096744006448,16,11,1,1.2,0.8,Has parking,Prime commercial hub,2
5,5,6,4,Detached Duplex,Lekki,Lagos,250000000,250000000,250000000,19.33697147982652,16,11,1,1.2,0.8,Has parking,Prime commercial hub,5
2,5,5,4,Detached Bungalow,Idu Industrial,Abuja,10000000,10000000,10000000,16.118095750958314,12,10,2.5,2.5,2,Has parking,Prime commercial hub,1
4,5,5,4,Detached Duplex,Guzape District,Abuja,180000000,180000000,180000000,19.00846741441004,14,10,1.25,1.25,1,Has parking,Prime commercial hub,4
3,3,4,4,Detached Bungalow,Ajah,Lagos,45000000,45000000,45000000,17.622173069956816,10,7,1,1.3333333333333333,1.3333333333333333,Has parking,Prime commercial hub,2
4,4,5,4,Detached Bungalow,Enugu,Enugu,28500000,28500000,28500000,17.1654146803266,13,9,1,1.25,1,Has parking,Emerging market,1
5,5,6,8,Detached Duplex,Dakwo,Abuja,80000000,80000000,80000000,18.197537205138154,16,11,1,1.2,1.6,Has parking,Prime commercial hub,3
5,6,7,3,Detached Duplex,Lekki,Lagos,70000000,70000000,70000000,18.064005814299346,18,13,1.2,1.4,0.6,Has parking,Prime commercial hub,3
1,5,5,1,Block Of Flats,Ikorodu,Lagos,20000000,20000000,20000000,16.811242881518265,11,10,5,5,1,Has parking,Prime commercial hub,1
4,5,5,4,Block Of Flats,Victoria Island (Vi),Lagos,830000000,830000000,830000000,20.536936259959738,14,10,1.25,1.25,1,Has parking,Prime commercial hub,5
4,4,5,4,Terraced Duplexes,Lekki,Lagos,160000000,160000000,160000000,18.8906843794481,13,9,1,1.25,1,Has parking,Prime commercial hub,4
5,5,6,1,Detached Duplex,Asokoro District,Abuja,150000000,150000000,150000000,18.826145858727198,16,11,1,1.2,0.2,Has parking,Prime commercial hub,4
4,4,5,3,Terraced Duplexes,Victoria Island (Vi),Lagos,180000000,180000000,180000000,19.00846741441004,13,9,1,1.25,0.75,Has parking,Prime commercial hub,4
2,2,2,4,Detached Bungalow,Alimosho,Lagos,10000000,10000000,10000000,16.118095750958314,6,4,1,1,2,Has parking,Prime commercial hub,1
3,4,4,2,Terraced Duplexes,Sagamu,Ogun,21000000,21000000,21000000,16.860033043306743,11,8,1.3333333333333333,1.3333333333333333,0.6666666666666666,Has parking,Major growth corridor,1
4,4,5,5,Detached Duplex,Ajah,Lagos,65000000,65000000,65000000,17.989897843244528,13,9,1,1.25,1.25,Has parking,Prime commercial hub,3
3,3,4,5,Detached Bungalow,Ikorodu,Lagos,4000000,4000000,4000000,15.201805169084134,10,7,1,1.3333333333333333,1.6666666666666667,Has parking,Prime commercial hub,1
3,5,5,4,Detached Bungalow,Lokogoma District,Abuja,40000000,40000000,40000000,17.50439003707821,13,10,1.6666666666666667,1.6666666666666667,1.3333333333333333,Has parking,Prime commercial hub,2
5,5,5,4,Detached Duplex,Lekki,Lagos,450000000,450000000,450000000,19.92475814295086,15,10,1,1,0.8,Has parking,Prime commercial hub,5
4,4,5,2,Terraced Duplexes,Lekki,Lagos,55000000,55000000,55000000,17.822843761378564,13,9,1,1.25,0.5,Has parking,Prime commercial hub,2
5,5,5,1,Terraced Duplexes,Chikun,Kaduna,60000000,60000000,60000000,17.909855136853043,15,10,1,1,0.2,Has parking,Emerging market,2
4,4,5,4,Detached Duplex,Lekki,Lagos,74000000,74000000,74000000,18.119575664681957,13,9,1,1.25,1,Has parking,Prime commercial hub,3
4,5,5,4,Block Of Flats,Ibeju Lekki,Anambara,9000000,9000000,9000000,16.012735246411598,14,10,1.25,1.25,1,Has parking,Emerging market,1
2,2,3,4,Detached Bungalow,Egbeda,Oyo,3000000,3000000,3000000,14.914123179965662,7,5,1,1.5,2,Has parking,Major growth corridor,1
4,5,5,4,Detached Duplex,Ajah,Lagos,75000000,75000000,75000000,18.132998684833918,14,10,1.25,1.25,1,Has parking,Prime commercial hub,3
4,5,5,4,Detached Duplex,Ojodu,Lagos,85000000,85000000,85000000,18.258161826219297,14,10,1.25,1.25,1,Has parking,Prime commercial hub,3
3,5,5,4,Semi Detached Bungalow,Mowe Ofada,Ogun,11500000,11500000,11500000,16.257857680289998,13,10,1.6666666666666667,1.6666666666666667,1.3333333333333333,Has parking,Major growth corridor,1
4,4,5,2,Terraced Duplexes,Lekki,Lagos,120000000,120000000,120000000,18.603002309079653,13,9,1,1.25,0.5,Has parking,Prime commercial hub,4
4,4,5,1,Detached Bungalow,Port Harcourt,Rivers,30000000,30000000,30000000,17.216707972959764,13,9,1,1.25,0.25,Has parking,Major growth corridor,1
5,5,6,5,Detached Duplex,Lekki,Lagos,125000000,125000000,125000000,18.643824303266577,16,11,1,1.2,1,Has parking,Prime commercial hub,4
4,4,4,4,Detached Duplex,Lekki,Lagos,65000000,65000000,65000000,17.989897843244528,12,8,1,1,1,Has parking,Prime commercial hub,3
5,5,6,4,Detached Duplex,Ikoyi,Lagos,1500000000,1500000000,1500000000,21.12873094572124,16,11,1,1.2,0.8,Has parking,Prime commercial hub,5
4,5,5,4,Terraced Duplexes,Utako,Abuja,80000000,80000000,80000000,18.197537205138154,14,10,1.25,1.25,1,Has parking,Prime commercial hub,3
4,5,5,4,Detached Duplex,Lekki,Lagos,75000000,75000000,75000000,18.132998684833918,14,10,1.25,1.25,1,Has parking,Prime commercial hub,3
5,7,7,8,Semi Detached Duplex,Lekki,Lagos,80000000,80000000,80000000,18.197537205138154,19,14,1.4,1.4,1.6,Has parking,Prime commercial hub,3
3,3,4,3,Terraced Duplexes,Lekki,Lagos,45000000,45000000,45000000,17.622173069956816,10,7,1,1.3333333333333333,1,Has parking,Prime commercial hub,2
4,5,5,4,Detached Duplex,Ajah,Lagos,35000000,35000000,35000000,17.370858648025116,14,10,1.25,1.25,1,Has parking,Prime commercial hub,2
4,4,5,2,Terraced Duplexes,Lekki,Lagos,47000000,47000000,47000000,17.665658180950928,13,9,1,1.25,0.5,Has parking,Prime commercial hub,2
5,5,5,4,Detached Duplex,Lekki,Lagos,145000000,145000000,145000000,18.7922443072814,15,10,1,1,0.8,Has parking,Prime commercial hub,4
4,5,5,4,Terraced Duplexes,Lugbe District,Abuja,50000000,50000000,50000000,17.72753358339242,14,10,1.25,1.25,1,Has parking,Prime commercial hub,2
5,5,6,4,Detached Duplex,Ajah,Lagos,95000000,95000000,95000000,18.36938746009113,16,11,1,1.2,0.8,Has parking,Prime commercial hub,3
5,5,6,3,Semi Detached Duplex,Lekki,Lagos,160000000,160000000,160000000,18.8906843794481,16,11,1,1.2,0.6,Has parking,Prime commercial hub,4
2,2,3,3,Block Of Flats,Jahi,Abuja,22000000,22000000,22000000,16.906553056777135,7,5,1,1.5,1.5,Has parking,Prime commercial hub,1
5,5,6,5,Detached Duplex,Lekki,Lagos,150000000,150000000,150000000,18.826145858727198,16,11,1,1.2,1,Has parking,Prime commercial hub,4
